view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,response
"[{""page_index"":0,""viewing_time"":49621.68500000001},{""page_index"":1,""viewing_time"":1941.4049999999988},{""page_index"":2,""viewing_time"":1411.6449999999895},{""page_index"":3,""viewing_time"":1256.6150000000198},{""page_index"":4,""viewing_time"":1075.0199999999895},{""page_index"":5,""viewing_time"":1353.9000000000087}]",56663.31,instructions,0,56721,0.0-0.0-0.0,,,,,,,,,,,,,,,,,,,
,5411.35,external-html,1,62232,0.0-0.0-1.0,consent_external_page.html,,,,,,,,,,,,,,,,,,
,3348.33,survey-text,2,65589,0.0-0.0-2.0,,"{""Age"":""31""}",subject age,,,,,,,,,,,,,,,,
,3167.84,survey-multi-choice,3,68762,0.0-0.0-3.0,,"{""Sex"":""Female""}",subject gender,[0],,,,,,,,,,,,,,,
,3591.865,survey-text,4,72361,0.0-0.0-4.0,,"{""ParticipantID"":""5ed7f5c5eb466b2e3953bee4""}",prolificID,,Reward_Animals,,,,,,,,,,,,,,
,,call-function,5,72365,0.0-0.0-5.0,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,75611,0.0-0.0-6.0,,,,,,,TRUE,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":2307.464999999982},{""page_index"":1,""viewing_time"":2110.770000000004}]",4418.645,instructions,7,80031,0.0-0.0-7.0,,,,,,,,,,,,,,,,,,,
,null,html-keyboard-response,8,81033,0.0-0.0-8.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,
,null,html-keyboard-response,9,83036,0.0-0.0-8.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,
,null,html-keyboard-response,10,84037,0.0-0.0-8.0-2.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,
,751.66,html-keyboard-response,11,84791,0.0-0.0-8.0-3.0,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,74,,Trial,joro,kirei,match_image,../img/Trial/Alt/laptop.jpg,74,TRUE,,
,null,html-keyboard-response,12,86795,0.0-0.0-8.0-4.0,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: #006600;'><b>Correct!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,joro,kirei,,,,,,
,null,html-keyboard-response,13,87796,0.0-0.0-8.0-0.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,
,null,html-keyboard-response,14,89798,0.0-0.0-8.0-1.1,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>ushi</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/cow.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,ushi,tsumu,,,,,,
,null,html-keyboard-response,15,90799,0.0-0.0-8.0-2.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,
