view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,url,responses,trial_id,question_order,condition,value,success,stimulus,key_press,phase,category,word,matchword,trial_matchtype,imagealt,correct_key,correct,reward_value,word_phase,response
"[{""page_index"":0,""viewing_time"":6963.840000000346},{""page_index"":1,""viewing_time"":24869.064999998955},{""page_index"":2,""viewing_time"":37775.36500000133},{""page_index"":3,""viewing_time"":6797.2849999969185},{""page_index"":4,""viewing_time"":7527.9500000033295},{""page_index"":5,""viewing_time"":2086.4049999981944}]",86021.265,instructions,0,86070,0.0-0.0-0.0,,,,,,,,,,,,,,,,,,,,
,94723.96,external-html,1,180885,0.0-0.0-1.0,consent_external_page.html,,,,,,,,,,,,,,,,,,,
,4750.645,survey-text,2,185646,0.0-0.0-2.0,,"{""Age"":""25""}",subject age,,,,,,,,,,,,,,,,,
,3172.43,survey-multi-choice,3,188821,0.0-0.0-3.0,,"{""Sex"":""Male""}",subject gender,[0],,,,,,,,,,,,,,,,
,28173.7,survey-text,4,217007,0.0-0.0-4.0,,"{""ParticipantID"":""60461a23ed0af004477df""}",prolificID,,Reward_Objects,,,,,,,,,,,,,,,
,,call-function,5,217010,0.0-0.0-5.0,,,,,,,,,,,,,,,,,,,,
,,fullscreen,6,223124,0.0-0.0-6.0,,,,,,,TRUE,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":39887.870000002295},{""page_index"":1,""viewing_time"":6647.7449999983655}]",46536.065,instructions,7,269660,0.0-0.0-7.0,,,,,,,,,,,,,,,,,,,,
,null,html-keyboard-response,8,270668,0.0-0.0-8.0-0.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,9,272675,0.0-0.0-8.0-1.0,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,10,273678,0.0-0.0-8.0-2.0,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,11,275683,0.0-0.0-8.0-3.0,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,joro,kirei,match_image,../img/Trial/Alt/laptop.jpg,74,FALSE,,,
,null,html-keyboard-response,12,277689,0.0-0.0-8.0-4.0,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: black;'><b>Too slow!</b></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='red_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='green_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,joro,kirei,,,,,,,
,null,html-keyboard-response,13,278691,0.0-0.0-8.0-0.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,14,280699,0.0-0.0-8.0-1.1,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>ushi</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/cow.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,ushi,tsumu,,,,,,,
,null,html-keyboard-response,15,281707,0.0-0.0-8.0-2.1,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,16,283712,0.0-0.0-8.0-3.1,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct word</i></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px;'class='Column'>ushi<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/cow2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px;'class='Column'>tsumu<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,ushi,tsumu,match_word,../img/Trial/Alt/polarbear.jpg,70,FALSE,,,
,null,html-keyboard-response,17,285720,0.0-0.0-8.0-4.1,,,feedback,,,,,<div class='header' align='center' style='font-size: 30px;color: black;'><b>Too slow!</b></div><div class='Row'><div align='center' style='padding-left:200px; font-weight: bold; font-size: 45px; color:#1f971f;'class='Column'>ushi<br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' class='Column'><img src='../img/Trial/cow2.jpg' height='300px' width='300px'></div><div align='center' style='padding-right:200px; font-weight: bold; font-size: 45px; color:#d61818;'class='Column'>tsumu<br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,null,,Trial,ushi,tsumu,,,,,,,
,null,html-keyboard-response,18,286729,0.0-0.0-8.0-0.2,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,null,html-keyboard-response,19,288739,0.0-0.0-8.0-1.2,,,stimuli,,,,,<div class='header' align='center' style='font-size: 45px;'><b>kujaku</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/peacock.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>,null,,Trial,kujaku,hidari,,,,,,,
,null,html-keyboard-response,20,289744,0.0-0.0-8.0-2.2,,,fixation,,,,,"<p style=""font-size: 80px; font-family:monospace;"">+</p>",null,,,,,,,,,,,
,1326.445,html-keyboard-response,21,291072,0.0-0.0-8.0-3.2,,,match,,,,,<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/peacock2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>kujaku</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/lemur.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>,70,,Trial,kujaku,hidari,match_image,../img/Trial/Alt/lemur.jpg,70,TRUE,,,
