"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","trial_id","question_order","condition","value","success","stimulus","key_press","phase","category","word","matchword","trial_matchtype","imagealt","correct_key","correct","reward_value","word_phase","response"
"[{""page_index"":0,""viewing_time"":10184.215000015683},{""page_index"":1,""viewing_time"":57335.699999995995},{""page_index"":2,""viewing_time"":2169.095000019297},{""page_index"":3,""viewing_time"":1190.9199999645352},{""page_index"":4,""viewing_time"":1616.7150000110269},{""page_index"":5,""viewing_time"":1431.4100000192411}]","73928.65499999607","instructions","0","73952","0.0-0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","18135.395000048447","external-html","1","92145","0.0-0.0-1.0","consent_external_page.html","","","","","","","","","","","","","","","","","","",""
"","2004.0400000289083","survey-text","2","94154","0.0-0.0-2.0","","{""Age"":""19""}","subject age","","","","","","","","","","","","","","","","",""
"","2702.980000001844","survey-multi-choice","3","96858","0.0-0.0-3.0","","{""Sex"":""Male""}","subject gender","[0]","","","","","","","","","","","","","","","",""
"","3856.020000006538","survey-text","4","100720","0.0-0.0-4.0","","{""ParticipantID"":""5e85e9f7b739111e5489e502""}","prolificID","","Reward_Objects","","","","","","","","","","","","","","",""
"","","call-function","5","100721","0.0-0.0-5.0","","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","6","102873","0.0-0.0-6.0","","","","","","","true","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12214.674999995623},{""page_index"":1,""viewing_time"":1088.095000013709}]","13302.980000036769","instructions","7","116176","0.0-0.0-7.0","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","117180","0.0-0.0-8.0-0.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","9","119183","0.0-0.0-8.0-1.0","","","stimuli","","","","","<div class='header' align='center' style='font-size: 45px;'><b>joro</b></div><div class='Row'><div align='center' style='font-size: 45px;'class='Column'> </div><div align='center' class='Column'><img src='../img/Trial/watercan.jpg' height='300px' width='300px'></div><div align='center' style='font-size: 45px;'class='Column'> </div></div>","null","","Trial","joro","kirei","","","","","","",""
"","null","html-keyboard-response","10","120184","0.0-0.0-8.0-2.0","","","fixation","","","","","<p style=""font-size: 80px; font-family:monospace;"">+</p>","null","","","","","","","","","","",""
"","null","html-keyboard-response","11","122186","0.0-0.0-8.0-3.0","","","match","","","","","<div class='header' align='center' style='font-size: 18px;'><i>Choose the correct image</i></div><div class='Row'><div align='center' style='padding-left:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/watercan2.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/F.jpg' height='40px' width='40px'></div><div align='center' style='font-weight: bold; font-size: 45px;'class='Column'>joro</div><div align='center' style='padding-right:150px; font-weight: bold; font-size: 45px;'class='Column'><img src='../img/Trial/Alt/laptop.jpg' height='300px' width='300px'class='white_border'><br/><br/><img src='../img/J.jpg' height='40px' width='40px'></div></div>","null","","Trial","joro","kirei","match_image","../img/Trial/Alt/laptop.jpg","70","false","","",""
